음식,열량
굴맑은짬뽕(05)(06)(18),65.59
굴미역국(18),34.25
굴영양밥&양념장(05)(06)(18),462.96
굴짬뽕찌개(05)(17)(18),97.74
궁중닭찜(05)(06)(15),282.29
궁중닭찜(15),268.47
궁중떡볶이,248.91
궁중떡볶이(05)(06),114.82
궁중떡볶이(05)(06)(16),273.92
규동덮밥(05)(06)(16),691.04
그린샐러드(01)(02)(05)(12)(17),102.57
그릴소시지구이,260.75
그릴소시지구이(02)(05)(06)(10)(12)(16),233.2
그릴소시지구이(05)(06)(10)(12)(15)(16)(18),196.25
그릴소시지구이(05)(06)(10)(15)(16)(18),195.95
그릴소시지구이(05)(12),349.05
그릴소시지구이(12),196.25
김가루주먹밥,229.84
김가루주먹밥(01)(05)(06),306.28
김말이튀김(05)(06)(13)(16),180.22
김밥,340.8
김밥볶음밥(01)(05)(06)(10)(18),516.69
김자반,10.0
김장김치(12~2월),20.74
김장김치(12~2월)(09),26.85
김치국,24.83
김치덮밥(05)(06)(10),576.28
김치만두국(01),33.92
김치만두국(01)(05)(06)(10),119.99
김치만두국(01)(16),30.92
김치말이국수(01)(02)(05)(06)(10)(15)(16)(18),230.38
김치말이국수(01)(05),156.56
김치말이국수(01)(05)(06),603.62
김치말이국수(01)(05)(06)(10),229.97
김치말이국수(01)(05)(06)(10)(16),465.12
김치메밀전병,27.63
김치메밀전병(03)(05)(06)(10),351.0
김치볶음밥(05)(06)(18),420.44
김치볶음밥(09)(18),392.88
김치볶음밥(18),374.55
김치볶음밥(완)(02)(05)(06)(09)(15)(16)(18),420.34
김치볶음밥(완)(02)(05)(06)(09)(16)(18),389.5
김치알밥(05),615.66
김치알밥(05)(06)(08)(09)(10)(12)(13),253.33
김치알밥(05)(06)(08)(09)(12)(13),217.9
김치알밥(05)(06)(08)(12),471.43
김치알밥(05)(06)(08)(12)(13),230.6
김치어묵우동(01)(05)(06)(07),202.83
김치어묵우동(01)(05)(06)(07)(09),239.88
김치전,27.63
김치찌개(05)(06)(09)(10),71.08
김치찌개(05)(06)(09)(10)(16),98.99
김치찌개(05)(06)(10),150.89
