음식,열량
"(주문자상표부착)대상, 최고야포도C, 135ml/개",70.0
"(주문자상표부착)대상, 힘내파인애플C, 135ml/개",49.0
"(주문자상표부착)씨제이프레시웨이, 과채농장배도라지, 100mL",
(통)마늘김치두루치기(05)(06)(09)(10),410.51
가공우유(딸기)(02),165.0
가공우유(바나나)(02),165.0
가공우유(초코)(02),160.0
가공우유(커피)(02),185.0
가공우유(쿠키앤크림)(02),160.0
가쓰오계란말이(01)(02)(05)(06)(07)(12)(16)(18),254.55
가쓰오계란말이(01)(02)(05)(06)(07)(15)(16)(18),202.01
가쓰오계란말이(01)(05)(06)(07)(12)(16)(18),188.85
가자미구이(01)(05)(06),304.85
가자미튀김(01)(05)(06),225.03
간장계란밥(01)(05)(06),457.2
간장계란밥(01)(05)(06)(18),427.27
간장깻잎지(05)(06),8.07
간장무채장아찌무침(05)(06)(08)(09)(18),33.53
갈떡꼬치(02)(05)(06)(10)(12)(15)(16)(18),349.51
갈릭버터난(02)(06),81.0
갈릭스틱바게트(01)(02)(05)(06),26.5
갈릭스파게티샐러드(01)(02)(05)(06)(12)(15)(16),1040.0
갈릭함박스테이크(05)(12)(13)(16),38.43
갈배사이다 제로 355ml,0.0
갈비만두찜(02)(05)(06)(09)(10)(15)(16)(18),617.81
갈비만두찜(02)(05)(06)(10)(16),356.07
갈치순살튀김(01)(05)(06),313.23
감바스파스타(05)(06)(09),807.15
감자간장조림(05)(06),75.49
감자고추장조림(05)(06)(16),47.59
감자돈육짜글이(05)(06)(08)(09)(10)(16)(17)(18),124.21
감자돈육짜글이(05)(06)(10)(16),127.34
감자샐러드(완)(01)(02),77.0
감자수제비국(01)(05)(06)(08)(09)(16)(17)(18),58.22
감자양파찌개(05)(06)(16),47.25
감자채볶음(05)(06),47.66
감자채전(01)(05)(06),282.09
감자크래커범벅(01)(02)(05)(06)(16),95.0
강된장찌개(05)(06)(09)(16)(18),55.33
검은콩밥(05),372.0
검은콩조림(05)(06),43.6
게맛살야채볶음(05)(06)(08)(16),143.39
견과류멸치볶음(04)(05)(06)(14),62.09
견과류멸치볶음(04)(14),62.09
계란말이(01)(02)(05)(06)(12),162.99
계란말이(01)(05)(12),186.95
계란말이밥(01)(02)(05)(06)(16)(18),275.0
계란볶음밥(01)(02)(05)(06)(10)(15)(16)(18),599.28
계란볶이(01)(02)(05)(06)(16),272.61
계란장조림(01)(05)(06)(16),220.05
계란찜(01)(09),110.34
계란후라이(완)(01)(05),85.5
고구마맛탕(05),207.19
고구마샐러드(01)(02)(05),168.88
고구마츄러스맛탕(01)(05)(06),313.53
고기굴림만두(01)(02)(05)(06)(10)(16),428.41
고기만두찜(01)(05)(06)(10)(16),344.93
고기만두찜(01)(05)(06)(10)(16)(18),296.24
고기말이폭찹(05)(06)(10)(12)(15)(16)(18),190.28
고기짜조(01)(05)(06)(10)(12)(13)(16),328.0
고들빼기김치,8.75
고들빼기김치(09),8.75
고등어필렛튀김(05)(06)(07),457.93
고사리나물(05)(06),36.38
고추잡채&꽃빵(05)(06)(10),632.98
고추잡채덮밥(05)(06)(10),663.85
고추장버터비빔밥(02)(05)(06),489.75
고추참치덮밥(05)(06),586.54
고추튀김(05)(06)(10)(13)(16),217.84
곤드레나물밥(05)(06)(10),416.24
골뱅이야채무침(05)(06),285.79
국물떡볶이(01)(02)(05)(06)(08)(16),371.87
군만두(01)(02)(05)(06)(10)(15)(16),290.37
군만두(05)(06)(10),260.48
궁채장아찌(05)(06),9.3
김가루밥,407.64
김말이튀김(05)(06)(13)(16),404.22
김자반,50.0
김치만두찜(01)(02)(05)(06)(09)(10)(16),265.05
김치말이국수(01)(02)(05)(06)(09)(13)(15)(16)(18),298.6
김치볶음밥(01)(02)(05)(06)(09)(15)(16),725.28
