날짜,조식,조식열량,중식,중식열량,석식,석식열량,증특식,증특식열량,열량합계
"2021-04-27","코코아 음료 분말(간호사관학교)","412kcal","배추김치(3~4월)","9.25kcal","컵과일(대추방울토마토)","17kcal","","","3473.94kcal"
"2021-04-28","밥","363kcal","흑미밥","399.9kcal","잡곡밥","381.33kcal","","","3646.37kcal"
"2021-04-28","사골곰탕","158.49kcal","쇠고기미역국(05)(16)","42.28kcal","순두부찌개(01)(05)(10)(18)","108.77kcal","","","3646.37kcal"
"2021-04-28","감자조림(05)(06)","148.99kcal","두부간장볶음(05)(06)","78.57kcal","떡볶이(05)(06)","292.29kcal","","","3646.37kcal"
"2021-04-28","오이부추무침(05)(06)","24.86kcal","갈치순살튀김(06)","346.3kcal","만두튀김(01)(05)(06)(10)","402.02kcal","","","3646.37kcal"
"2021-04-28","가공우유 바나나","167kcal","계란찜(01)","144.48kcal","배추김치(3~4월)","9.25kcal","","","3646.37kcal"
"2021-04-28","깍두기(임가공)","28.59kcal","배추김치(3~4월)","9.25kcal","","","","","3646.37kcal"
"2021-04-28","가공우유(바나나)(02)","167kcal","아이스크림 샌드위치(02)","252kcal","","","","","3646.37kcal"
"2021-04-28","우유(백색우유(200ML))","122kcal","","","","","","","3646.37kcal"
"2021-04-29","햄치즈버거(01)(02)(06)(10)(12)","1205.03kcal","스파게티(06)(09)(12)","833.47kcal","잡곡밥","381.33kcal","","","3401.83kcal"
"2021-04-29","우유(백색우유(200ML))","122kcal","오징어튀김(01)(05)(06)","302.56kcal","감자양파찌개(05)(06)(10)","136.02kcal","","","3401.83kcal"
"2021-04-29","","","배추김치(3~4월)","9.25kcal","쇠고기불고기(05)(06)(16)","169.05kcal","","","3401.83kcal"
"2021-04-29","","","참외(4월~5월)","38kcal","양배추쌈(05)(06)","73.87kcal","","","3401.83kcal"
"2021-04-29","","","","","배추김치(3~4월)","9.25kcal","","","3401.83kcal"
"2021-04-29","","","","","우유(백색우유(200ML))","122kcal","","","3401.83kcal"
"2021-04-30","밥","363kcal","흑미밥","399.9kcal","밥","381.15kcal","","","2882.44kcal"
"2021-04-30","꼬꼬떡국(05)(15)","268.37kcal","호박된장찌개(05)(06)","74.18kcal","닭고기육개장(01)(05)(15)","163.83kcal","","","2882.44kcal"
